publication_id	pmid	compound_id	compound  chebi_id
53	21346713	670	Niacin	
53	21346713	159	Vitamin B6	
53	21346713	115	Vitamin B12	
53	21346713	489	Folates	
53	21346713	154	Pantothenic acid	46905
53	21346713	134	Vitamin C	
53	21346713	236	Ascorbic acid	29073
53	21346713	189	Pyridoxal 5'-phosphate	18405
54	20859297	1393	Fats from Animal	
54	20859297	95	Dietary fibre	
54	20859297	94	Fibre from Cereals	
54	20859297	174	Fibre from Foods	
54	20859297	144	Alkylresorcinols	
54	20859297	145	5-n-Heptadecylresorcinol (C17:0)	
54	20859297	146	5-n-Nonadecylresorcinol (C19:0)	
54	20859297	147	5-n-Heneicosylresorcinol (C21:0)	
54	20859297	148	5-n-Tricosylresorcinol (C23:0)	
54	20859297	149	5-n-Pentacosylresorcinol (C25:0)	
55	20018122	177	Fatty acids, saturated (SFA)	
55	20018122	178	Fatty acids, monounsaturated (MUFA)	
55	20018122	179	Fatty acids, polyunsaturated (PUFA)	
55	20018122	410	Fatty acids, n6-polyunsaturated (n6-PUFA)	
55	20018122	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
55	20018122	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
55	20018122	183	EPA (cis-20:5n-3)	28364
55	20018122	184	DHA (cis-22:6n-3)	28125
55	20018122	267	Fats	
55	20018122	451	Fatty acids	
56	21185973	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
56	21185973	184	DHA (cis-22:6n-3)	28125
56	21185973	183	EPA (cis-20:5n-3)	28364
57	20502474	155	Thiamin	18385
57	20502474	156	Riboflavin	17015
57	20502474	159	Vitamin B6	
57	20502474	115	Vitamin B12	
57	20502474	670	Niacin	
57	20502474	160	Niacin (Niacin Equivalents)	
57	20502474	154	Pantothenic acid	46905
57	20502474	489	Folates	
57	20502474	134	Vitamin C	
57	20502474	157	4-Pyridoxic acid	17405
57	20502474	158	Nicotinamide metabolites	
57	20502474	161	Ascorbic acid metabolites	
57	20502474	605	Nicotinamide	17154
57	20502474	606	N-Methyl-2-pyridone-5-carboxamide	27410
57	20502474	607	N-Methyl-4-pyridone-3-carboxamide	27838
57	20502474	608	N-Methylnicotinamide	64399
57	20502474	236	Ascorbic acid	29073
57	20502474	590	L-Dehydroascorbic acid	27956
57	20502474	611	2,3-Diketogulonic acid	15622
58	19759165	598	Ethanol	16236
58	19759165	188	Ethanol from Alcoholic beverages	
58	19759165	185	Hydroxytyrosol	68889
58	19759165	186	Ethyl glucuronide	87248
59	20502473	489	Folates	
59	20502473	115	Vitamin B12	
59	20502473	156	Riboflavin	17015
59	20502473	159	Vitamin B6	
59	20502473	315	Energy	
59	20502473	189	Pyridoxal 5'-phosphate	18405
60	21835399	190	Mercury	16170
60	21835399	191	Methylmercury	49747
61	20104234	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
61	20104234	315	Energy	
61	20104234	184	DHA (cis-22:6n-3)	28125
61	20104234	589	Docosatetraenoic acid (cis-22:4n-3)	
61	20104234	215	DPA (cis-22:5n-3)	53488
61	20104234	432	Eicosatrienoic acid (ETE; cis-20:3n-3)	53460
61	20104234	183	EPA (cis-20:5n-3)	28364
61	20104234	835	Heneicosapentaenoic acid (HPA; cis-21:5n-3)	
61	20104234	588	Omega-3 arachidonic acid (ETA; cis-20:4n-3)	71488
61	20104234	923	2,3,4,7,8-PeCDF	81508
61	20104234	918	OCDD	81566
61	20104234	942	PCB-126	34317
61	20104234	1099	PCB-153	34202
61	20104234	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
61	20104234	177	Fatty acids, saturated (SFA)	
61	20104234	451	Fatty acids	
61	20104234	242	Palmitic acid (16:0)	15756
61	20104234	243	Stearic acid (18:0)	28842
61	20104234	191	Methylmercury	49747
62	20634051	177	Fatty acids, saturated (SFA)	
62	20634051	178	Fatty acids, monounsaturated (MUFA)	
62	20634051	219	Fatty acids, trans-monounsaturated (trans-MUFA)
62	20634051	410	Fatty acids, n6-polyunsaturated (n6-PUFA)	
62	20634051	217	Linoleic acid (LA; cis-18:2n-6)	17351
62	20634051	223	Dihomo-gamma-linolenic acid (DGLA; cis-20:3n-6)53486
62	20634051	224	Arachidonic acid (AA; cis-20:4n-6)	15843
62	20634051	225	Osbond acid (cis-22:5n-6)	65136
62	20634051	286	Fatty acids, n3-polyunsaturated (n3-PUFA)	
62	20634051	182	alpha-Linolenic acid (ALA; cis-18:3n-3)	27432
62	20634051	183	EPA (cis-20:5n-3)	28364
62	20634051	215	DPA (cis-22:5n-3)	53488
62	20634051	184	DHA (cis-22:6n-3)	28125
62	20634051	451	Fatty acids	
63	20856100	134	Vitamin C	
63	20856100	237	alpha-Tocopherol	18145
63	20856100	238	gamma-Tocopherol	18185
63	20856100	838	Lutein/Zeaxanthin	
63	20856100	84	beta-Cryptoxanthin	10362
63	20856100	83	alpha-Carotene	28425
63	20856100	89	beta-Carotene	17579
63	20856100	86	Lycopene	15948
63	20856100	159	Vitamin B6	
63	20856100	489	Folates	
63	20856100	115	Vitamin B12	
63	20856100	163	Vitamin D	
63	20856100	179	Fatty acids, polyunsaturated (PUFA)	
63	20856100	178	Fatty acids, monounsaturated (MUFA)	
63	20856100	177	Fatty acids, saturated (SFA)	
63	20856100	217	Linoleic acid (LA; cis-18:2n-6)	17351
