ChEBIID	PubMedIDs
27363	24464602,24464602,24464602,24464602,24464602,3981374,3981374,23743666,23743666,23743666,23743666,23743666,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,18418556,18418556,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,6685141,6685141,6685141,6685141
23044	9169165,9169165,9169165,9169165,9169165,9169165,17951485,17951485,20805084,20805084,20805084,20805084,20805084,20805084,17381951,1764701,1764701,22434053,22434053,22434053,22434053,22434053,22434053,22434053,22760559,22760559,22760559,22760559,22760559,22760559,22760559,22760559,19116317,19116317,19116317,23287847,17299490,8347746,8347746,8347746,11722962,11722962,11722962,11722962,21729475,21729475,16127237,16127237,16127237,16127237,16127237,16127237,16127237,16127237,9126539
26708	22841050,25049524,25049524,25049524,25049524,25049524,17925592,17925592,17925592,7759851,7759851,7759851,7759851,7759851,7759851,7759851,7759851,23493899,23493899,20045014,20045014,17586409,17586409,17586409,17586409,17586409,17586409,17586409,11318226,11318226,3904334,3904334,3904334,3904334,3904334,3904334,3949945,3949945,3949945,24133617,1706024,1706024,11464259,11464259,11464259,15685502,22402311,12037693,20461205,20461205,20461205,20461205,8921782,8921782
39026	17622289,22166897,22166897,22166897,3214459,23758041,23758041,23758041,23758041,23758041,11023139,14647227,19828690,17374661,17374661,10037556,10037556,10037556,10037556,20136444,2304504,15623835,15623835,15623835,15623835,18929595,16483880,21673483,20335630,11002386,11002386,15671684,15671684,24574190,24574190,17161227,9845229,17142523,17142523,17142523,17142523,17142523,17142523,17142523,18400724,18400724,18400724,8006520,8006520,8006520,8988942,8988942,8988942
17579	9169165,9169165,9169165,11273853,11273853,11273853,11273853,11273853,11273853,11273853,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,7767243,7767243,7767243,7767243,7767243,7767243,7767243,7767243,17381951,1764701,1764701,1764701,1764701,1764701,11722962,11722962,11722962,11722962,11570993,11570993,11570993,12879094,12879094,12879094,9126539
22586	21414247,21414247,21414247,22859618,22859618,11273853,25049524,22464667,22464667,22464667,22464667,22464667,20136444,20136444,20136444,20136444,17158438,17158438,17158438,18938777,21867578,21867578,21586177,21586177,21755327,21755327,21755327,21755327,23287847,23287847,23287847,23287847,23287847,23287847,23287847,18469252,18469252,18469252,18469252,19088785,12879094,12879094,12879094,21353477,21353477,21353477
39025	17622289,11063437,22166897,22166897,22166897,3214459,23758041,23758041,23758041,9625087,9625087,9625087,9625087,9625087,14580860,17374661,17374661,10037556,10037556,10037556,3684977,3684977,3684977,3684977,20359723,22257370,22257370,22257370,2304504,15623835,15623835,24133617,21755327,9925119,9925119,16483880,11002386,11002386,19828688,11237932,17161227,9845229,8006520,8988942,8988942,8988942
47774	17622289,23758041,11023139,14647227,14647227,14647227,14647227,19828690,19828690,19828690,19828690,3655625,10037556,10037556,10037556,2304504,15623835,15623835,15623835,16483880,20335630,6983876,6983876,6983876,8436092,8436092,8436092,8436092,17161227,17161227,17161227,17161227,17161227,17161227,9845229,9845229,17142523,18400724,18400724,18400724,8006520,8006520,8988942,8988942,22507619,22507619
59163	17951485,17951485,17299464,24086269,22357739,21616200,21616200,23493899,22464667,23679960,22406837,22437553,22146903,18383031,20880683,22171008,22171008,19025725,22990856,22990856,22434053,22434053,22434053,21586177,15054404,19116317,19116317,23899213,17684141,17684141,18855107,21917262,24477299,24477299,12407914,15213040,15213040,15764338,15764338,23692391,23692391,23692391,10511259,10511259
30780	26676347,17925592,20403085,10780942,1570817,1570817,7767243,7767243,6467897,16055129,3728359,10037556,22171008,3684977,11160547,19025725,18929595,9786601,9786601,3949945,6306619,6306619,19765953,19765953,10744130,11906579,12465730,3179835,23899213,15671684,19088785,17927508,24477299,18674555,16126558,20375264,12701636,16127237,20386999,23392875
